Market,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,TuneStart,TuneEnd,EvalStart,EvalEnd,Qualified,TuneBets,TuneTotalStaked,TuneTotalProfit,TuneROI,TuneHitRate,TuneAvgEdge,TuneAvgModelProb,TuneAvgOdd,EvalBets,EvalTotalStaked,EvalTotalProfit,EvalROI,EvalHitRate,EvalAvgEdge,EvalAvgModelProb,EvalAvgOdd
Over 2.5,0.0,0.675,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,250.0,2500.0,16.10000000000001,0.006440000000000003,0.684,0.06941631205461209,0.7131550638335791,1.4786,161.0,1610.0,219.60000000000002,0.13639751552795032,0.7701863354037267,0.06974740999940364,0.7124497588897437,1.481552795031056
Over 2.5,0.0,0.675,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,250.0,2500.0,16.10000000000001,0.006440000000000003,0.684,0.06941631205461209,0.7131550638335791,1.4786,161.0,1610.0,219.60000000000002,0.13639751552795032,0.7701863354037267,0.06974740999940364,0.7124497588897437,1.481552795031056
Over 2.5,0.0,0.7,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,141.0,1410.0,36.90000000000002,0.026170212765957462,0.723404255319149,0.0631097232387516,0.732080539508834,1.420709219858156,88.0,880.0,116.40000000000002,0.1322727272727273,0.7954545454545454,0.06226119724173271,0.7319116931007968,1.4207954545454546
Over 2.5,0.0,0.7,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,148.0,1480.0,0.30000000000000426,0.0002027027027027056,0.7027027027027027,0.06687644073382601,0.7309887880149487,1.4324324324324325,92.0,920.0,125.30000000000001,0.13619565217391305,0.7934782608695652,0.06505951496784056,0.7308805687028246,1.429782608695652
Over 2.5,0.0,0.7,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,152.0,1520.0,12.20000000000001,0.00802631578947369,0.7039473684210527,0.06938681566652222,0.7304359457476034,1.440263157894737,92.0,920.0,125.30000000000001,0.13619565217391305,0.7934782608695652,0.06505951496784056,0.7308805687028246,1.429782608695652
Over 2.5,0.0,0.7,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,152.0,1520.0,12.20000000000001,0.00802631578947369,0.7039473684210527,0.06938681566652222,0.7304359457476034,1.440263157894737,92.0,920.0,125.30000000000001,0.13619565217391305,0.7934782608695652,0.06505951496784056,0.7308805687028246,1.429782608695652
Over 2.5,0.0,0.7,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,152.0,1520.0,12.20000000000001,0.00802631578947369,0.7039473684210527,0.06938681566652222,0.7304359457476034,1.440263157894737,92.0,920.0,125.30000000000001,0.13619565217391305,0.7934782608695652,0.06505951496784056,0.7308805687028246,1.429782608695652
Over 2.5,0.0,0.7,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,152.0,1520.0,12.20000000000001,0.00802631578947369,0.7039473684210527,0.06938681566652222,0.7304359457476034,1.440263157894737,92.0,920.0,125.30000000000001,0.13619565217391305,0.7934782608695652,0.06505951496784056,0.7308805687028246,1.429782608695652
Over 2.5,0.0,0.7,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,152.0,1520.0,12.20000000000001,0.00802631578947369,0.7039473684210527,0.06938681566652222,0.7304359457476034,1.440263157894737,92.0,920.0,125.30000000000001,0.13619565217391305,0.7934782608695652,0.06505951496784056,0.7308805687028246,1.429782608695652
Over 2.5,0.025,0.5,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,318.0,3180.0,82.60000000000008,0.02597484276729562,0.6823899371069182,0.057487412877198205,0.6859653149265297,1.5057232704402514,185.0,1850.0,208.50000000000006,0.11270270270270273,0.7405405405405405,0.060159171939379905,0.6885046126628345,1.5068648648648648
Over 2.5,0.025,0.5,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,601.0,6010.0,-175.69999999999987,-0.02923460898502494,0.6189683860232945,0.05865864639953042,0.6588297603444198,1.578702163061564,390.0,3900.0,328.4000000000001,0.08420512820512822,0.6871794871794872,0.061208368915853274,0.6583835252424473,1.5874615384615385
Over 2.5,0.025,0.5,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,850.0,8500.0,-42.89999999999992,-0.005047058823529403,0.6141176470588235,0.060724812339546574,0.6436281294146022,1.628894117647059,595.0,5950.0,365.1,0.06136134453781513,0.6504201680672269,0.06070021720176344,0.6382404497354713,1.6448235294117648
Over 2.5,0.025,0.5,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,972.0,9720.0,-90.19999999999982,-0.009279835390946484,0.6018518518518519,0.060345242754028944,0.6350407376250445,1.6580246913580245,662.0,6620.0,363.60000000000014,0.054924471299093676,0.6389728096676737,0.06022462896158658,0.6316247531230736,1.666057401812689
Over 2.5,0.025,0.5,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1097.0,10970.0,159.90000000000006,0.014576116681859623,0.6025524156791249,0.05963775675559146,0.6243565944216329,1.6936918869644486,763.0,7630.0,375.4000000000001,0.049200524246395816,0.6225425950196593,0.0589499064016521,0.6190093073806301,1.7057011795543904
Over 2.5,0.025,0.5,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1235.0,12350.0,132.90000000000003,0.01076113360323887,0.5878542510121457,0.060993083404782454,0.6138733180519635,1.7364777327935224,830.0,8300.0,472.70000000000005,0.05695180722891567,0.6168674698795181,0.06013420995177747,0.6117636907642383,1.7361566265060244
Over 2.5,0.025,0.5,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1245.0,12450.0,171.4,0.01376706827309237,0.5879518072289157,0.0613902439855974,0.6131181909690573,1.7410441767068277,832.0,8320.0,500.20000000000005,0.06012019230769231,0.6177884615384616,0.06026681821732637,0.6115241183681741,1.7376923076923076
Over 2.5,0.025,0.525,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,318.0,3180.0,82.60000000000008,0.02597484276729562,0.6823899371069182,0.057487412877198205,0.6859653149265297,1.5057232704402514,185.0,1850.0,208.50000000000006,0.11270270270270273,0.7405405405405405,0.060159171939379905,0.6885046126628345,1.5068648648648648
Over 2.5,0.025,0.525,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,601.0,6010.0,-175.69999999999987,-0.02923460898502494,0.6189683860232945,0.05865864639953042,0.6588297603444198,1.578702163061564,390.0,3900.0,328.4000000000001,0.08420512820512822,0.6871794871794872,0.061208368915853274,0.6583835252424473,1.5874615384615385
