Market,StakeMode,StakeModeName,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,ValidationStart,ValidationEnd,ValidationSeasons,TestStart,TestEnd,TestSeasons,Qualified,ValBets,ValTotalStaked,ValTotalProfit,ValROI,ValHitRate,ValAvgEdge,ValAvgModelProb,ValAvgOdd,ValMaxDrawdown,ValMaxDrawdownPct,ValLongestRedStreak,ValFinalBankroll,TestBets,TestTotalStaked,TestTotalProfit,TestROI,TestHitRate,TestAvgEdge,TestAvgModelProb,TestAvgOdd,TestMaxDrawdown,TestMaxDrawdownPct,TestLongestRedStreak,TestFinalBankroll
Over 2.5,fixed,Stake fixa,0.0,0.525,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1670.0,16700.0,-155.89999999999992,-0.00933532934131736,0.6089820359281437,0.051463192815069156,0.6329406120671525,1.6433832335329344,329.9000000000001,0.28298164350660493,7.0,844.1000000000001,1668.0,16680.0,163.60000000000014,0.009808153477218234,0.6115107913669064,0.04901513945831037,0.6222828473443949,1.6627697841726619,427.9,0.4137897688811527,7.0,1163.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.525,2.0,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1823.0,18230.0,-20.59999999999991,-0.0011300054854635167,0.6044980800877674,0.05241881690916072,0.6264890290585562,1.6698354360943497,257.29999999999995,0.25887916289365126,7.0,979.4000000000001,1837.0,18370.0,139.0,0.007566684812193795,0.6015242242787153,0.050435456008090615,0.6159713935953681,1.6896788241698424,471.19999999999993,0.46011131725417437,7.0,1139.0
Over 2.5,fixed,Stake fixa,0.0,0.525,2.2,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1931.0,19310.0,-79.69999999999987,-0.004127395132055923,0.5960642154324184,0.05482794366923254,0.6225164467352724,1.6925479026411185,297.6,0.260705038836885,7.0,920.3000000000002,1911.0,19110.0,288.60000000000014,0.015102040816326538,0.6007326007326007,0.05200095415630933,0.6133445044190449,1.7046572475143904,379.60000000000014,0.368901846452867,7.0,1288.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.525,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1943.0,19430.0,-30.899999999999935,-0.001590324240864639,0.5959855892949047,0.05546415379713914,0.6220556545546264,1.6970766855378283,285.89999999999986,0.260705038836885,7.0,969.1,1917.0,19170.0,350.10000000000014,0.018262910798122072,0.6014606155451225,0.052309326667953085,0.6131121750604241,1.7069118414188837,379.5999999999999,0.3627329192546583,7.0,1350.1000000000001
Over 2.5,fixed,Stake fixa,0.0,0.55,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,626.0,6260.0,87.40000000000009,0.01396166134185305,0.6853035143769968,0.04670204240243294,0.684261960380964,1.4868370607028754,223.89999999999998,0.22407926341072856,6.0,1087.4,507.0,5070.0,108.60000000000011,0.021420118343195287,0.6844181459566075,0.04552860637958828,0.6788704770921455,1.4964102564102566,108.89999999999998,0.10715339958673618,5.0,1108.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.55,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1069.0,10690.0,-167.99999999999983,-0.015715622076707188,0.637043966323667,0.04998100373770417,0.659296954154166,1.5578297474275025,222.80000000000007,0.22186815375423227,8.0,832.0000000000002,991.0,9910.0,-18.79999999999984,-0.0018970736629666841,0.6367305751765893,0.04890773613942368,0.6504619710434009,1.5771039354187688,343.00000000000114,0.33404752629528744,10.0,981.2000000000002
Over 2.5,fixed,Stake fixa,0.0,0.55,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1387.0,13870.0,-87.09999999999985,-0.00627974044700792,0.6258111031002163,0.05253874724541325,0.64656768765979,1.6007786589762079,218.60000000000002,0.21987527660430498,7.0,912.9000000000001,1399.0,13990.0,13.700000000000216,0.000979270907791295,0.6190135811293781,0.05096124791075413,0.63475817160127,1.628134381701215,449.2000000000003,0.4343873900009673,7.0,1013.7000000000003
Over 2.5,fixed,Stake fixa,0.0,0.55,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1556.0,15560.0,-27.499999999999886,-0.001767352185089967,0.6182519280205655,0.05401172481133434,0.6399178666875598,1.6290616966580975,255.0,0.2377580532562082,7.0,972.5000000000001,1517.0,15170.0,-13.399999999999864,-0.0008833223467369719,0.6117336849044166,0.05208850711486397,0.6306654879907898,1.6458734344100197,492.0,0.4757760371337395,7.0,986.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.55,2.0,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1627.0,16270.0,47.000000000000114,0.0028887523048555692,0.6158574062692072,0.05536630613943248,0.6372777606507163,1.6433312845728334,269.79999999999995,0.2690735015458262,7.0,1047.0,1592.0,15920.0,-38.899999999999864,-0.0024434673366834085,0.6061557788944724,0.053643900999079945,0.6280296800152195,1.6604020100502512,488.20000000000005,0.47210134416400745,7.0,961.1000000000001
Over 2.5,fixed,Stake fixa,0.0,0.55,2.2,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1675.0,16750.0,46.400000000000176,0.0027701492537313536,0.6119402985074627,0.05717453980676203,0.635560001478137,1.6557552238805973,267.79999999999995,0.2670788870050862,7.0,1046.4,1618.0,16180.0,11.500000000000114,0.0007107540173053222,0.6056860321384425,0.054578548584096984,0.6271069951214037,1.6670210135970336,483.4,0.46745962672855623,7.0,1011.5000000000001
Over 2.5,fixed,Stake fixa,0.0,0.55,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1680.0,16800.0,95.20000000000014,0.005666666666666675,0.6125,0.05752893960679457,0.6353420748833666,1.6581369047619048,267.79999999999995,0.2670788870050862,7.0,1095.2,1619.0,16190.0,1.5,9.26497838171711e-05,0.6053119209388511,0.0546480572018499,0.6270633379149207,1.6674737492279186,493.4000000000001,0.4771298713857462,7.0,1001.5
Over 2.5,fixed,Stake fixa,0.0,0.575,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,626.0,6260.0,87.40000000000009,0.01396166134185305,0.6853035143769968,0.04670204240243294,0.684261960380964,1.4868370607028754,223.89999999999998,0.22407926341072856,6.0,1087.4,507.0,5070.0,108.60000000000011,0.021420118343195287,0.6844181459566075,0.04552860637958828,0.6788704770921455,1.4964102564102566,108.89999999999998,0.10715339958673618,5.0,1108.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.575,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1026.0,10260.0,-74.89999999999984,-0.007300194931773863,0.6442495126705653,0.05173596807037996,0.6631691293519766,1.5525633528265106,226.5000000000001,0.22555267874925325,8.0,925.1000000000001,950.0,9500.0,53.300000000000125,0.005610526315789487,0.6431578947368422,0.05062209943016669,0.6540826615012877,1.5723684210526316,271.0000000000009,0.2675750394944717,10.0,1053.3000000000002
