Market,fold,train_start,train_end,test_start,test_end,train_rows,test_rows,alpha_model,alpha_market,blend_validation_rows,accuracy,precision_over,logloss,brier_score,calibration_ece,bets,total_staked,total_profit,roi,hit_rate,avg_edge,avg_model_prob,avg_odd,precision_under,precision_h,precision_d,precision_a
Resultado 1X2,1,2005-09-27,2016-10-21,2016-10-22,2018-10-01,61035,11493,0.35,0.65,12207,0.5283215870529888,,0.9777662849418834,0.5826592519348769,0.014820216098745844,4.0,40.0,4.0000000000000036,0.10000000000000009,0.5,0.05993284656599375,0.5006800547596572,2.1500000000000004,,0.536487758945386,0.45,0.5055424924420557
Resultado 1X2,2,2005-09-27,2018-10-01,2018-10-02,2020-10-21,72528,10881,0.35,0.65,14506,0.505560150721441,,0.9941830136524072,0.593435180907064,0.008124694750461741,17.0,170.0,-6.999999999999997,-0.04117647058823528,0.47058823529411764,0.05566608799626577,0.5320359554512999,1.9964705882352944,,0.5194822348434817,0.41975308641975306,0.4750696810157944
Resultado 1X2,3,2005-09-27,2020-10-21,2020-10-22,2022-08-02,83409,11243,0.35,0.65,16682,0.5076047318331406,,0.9966253534958568,0.595081940817285,0.010782144230043797,60.0,600.0,148.5,0.2475,0.6166666666666667,0.058805773746700346,0.5265424997251426,2.024666666666667,,0.513622332572809,0.3235294117647059,0.49733901011176157
Resultado 1X2,4,2005-09-27,2022-08-02,2022-08-05,2024-06-21,94652,11641,0.55,0.44999999999999996,18931,0.522635512413023,,0.9820881855897754,0.5849764686351842,0.011863532373898818,179.0,1790.0,64.0,0.035754189944134075,0.5586592178770949,0.06205007323222346,0.5685961146085073,1.8839106145251399,,0.529945999018164,0.4375,0.5071784353940815
Resultado 1X2,5,2005-09-27,2024-06-21,2024-06-22,2026-05-14,106293,11397,0.65,0.35,21259,0.5169781521453014,,0.9887318337252179,0.5898200329094544,0.013068122954138846,261.0,2610.0,166.5,0.06379310344827586,0.5747126436781609,0.06564617875670582,0.5698146399972918,1.8844061302681991,,0.5310237849017581,0.31363636363636366,0.4984016274338855
Vitoria Casa/Fora,1,2005-09-27,2016-10-21,2016-10-22,2018-10-01,61035,11493,0.35,0.65,12207,0.5283215870529888,,0.9777662849418834,0.5826592519348769,0.014820216098745844,1.0,10.0,-10.0,-1.0,0.0,0.06422152282805516,0.5355708758779627,2.0,,0.536487758945386,,0.5055424924420557
Vitoria Casa/Fora,2,2005-09-27,2018-10-01,2018-10-02,2020-10-21,72528,10881,0.35,0.65,14506,0.505560150721441,,0.9941830136524072,0.593435180907064,0.008124694750461741,12.0,120.0,-43.5,-0.3625,0.3333333333333333,0.05624823168209544,0.5497848869992605,1.9241666666666666,,0.5194822348434817,,0.4750696810157944
Vitoria Casa/Fora,3,2005-09-27,2020-10-21,2020-10-22,2022-08-02,83409,11243,0.35,0.65,16682,0.5076047318331406,,0.9966253534958568,0.595081940817285,0.010782144230043797,44.0,440.0,89.0,0.20227272727272727,0.6136363636363636,0.0583924048714715,0.5402254927389359,1.966590909090909,,0.513622332572809,,0.49733901011176157
Vitoria Casa/Fora,4,2005-09-27,2022-08-02,2022-08-05,2024-06-21,94652,11641,0.55,0.44999999999999996,18931,0.522635512413023,,0.9820881855897754,0.5849764686351842,0.011863532373898818,152.0,1520.0,44.900000000000006,0.02953947368421053,0.5723684210526315,0.06141652852298716,0.582440895200919,1.8250657894736844,,0.529945999018164,,0.5071784353940815
Vitoria Casa/Fora,5,2005-09-27,2024-06-21,2024-06-22,2026-05-14,106293,11397,0.65,0.35,21259,0.5169781521453014,,0.9887318337252179,0.5898200329094544,0.013068122954138846,234.0,2340.0,167.0,0.07136752136752136,0.5897435897435898,0.06528280202450697,0.5790781404886312,1.8447863247863248,,0.5310237849017581,,0.4984016274338855
