Market,StakeMode,StakeModeName,StrategyId,Month,Bets,TotalStaked,TotalProfit,HitRate,AvgOdd,AvgEdge,AvgModelProb,MaxDrawdown,LongestRedStreak,ROI
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,2026-03,1,29.249047791300537,16.67195724104131,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,2026-04,2,58.6059368218076,3.436033351735418,0.5,2.275,0.10452770923915408,0.511083344002035,29.749206508531756,1,0.05862944162436544
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,2025-08,1,10.0,-10.0,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,2025-10,1,10.0,-10.0,0.0,2.3,0.10010892355822032,0.5126825974285543,10.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,2025-11,3,30.0,11.999999999999998,0.6666666666666666,2.233333333333333,0.11227002488580762,0.5324235639102212,10.0,1,0.39999999999999997
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,2026-03,1,10.0,5.700000000000001,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,2026-04,2,20.0,1.5,0.5,2.275,0.10452770923915408,0.511083344002035,10.0,1,0.075
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,2025-08,1,29.921256023076474,-29.921256023076474,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,2025-10,1,29.102362319307705,-29.102362319307705,0.0,2.3,0.10010892355822032,0.5126825974285543,29.10236231930776,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,2025-11,3,84.66642727482989,33.99187805240217,0.6666666666666666,2.233333333333333,0.11227002488580762,0.5324235639102212,28.163527520316052,1,0.4014800098043994
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,2026-03,1,29.249047791300537,16.67195724104131,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,2026-04,2,58.6059368218076,3.436033351735418,0.5,2.275,0.10452770923915408,0.511083344002035,29.749206508531756,1,0.05862944162436544
