Market,StakeMode,StakeModeName,StrategyId,Liga,Bets,TotalStaked,TotalProfit,HitRate,AvgOdd,AvgEdge,AvgModelProb,MaxDrawdown,LongestRedStreak,ROI
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,T1,1,29.249047791300537,16.67195724104131,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,B1,1,10.0,-10.0,0.0,2.5,0.10121759624941218,0.4696386488809911,10.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,F1,1,10.0,-10.0,0.0,2.3,0.10010892355822032,0.5126825974285543,10.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,F2,1,10.0,-10.0,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,I2,2,20.0,0.4999999999999982,0.5,2.2249999999999996,0.11390891967978908,0.5291584562380204,10.0,1,0.02499999999999991
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,P1,1,10.0,11.5,1.0,2.15,0.10030647852233082,0.5336131877875065,0.0,0,1.15
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,SP1,1,10.0,11.5,1.0,2.15,0.11652357900440985,0.5578686305901951,0.0,0,1.15
Vitoria Casa/Fora,fixed,Stake fixa,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50,T1,1,10.0,5.700000000000001,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,B1,1,28.163527520315974,-28.163527520315974,0.0,2.5,0.10121759624941218,0.4696386488809911,28.163527520316052,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,F1,1,29.102362319307705,-29.102362319307705,0.0,2.3,0.10010892355822032,0.5126825974285543,29.10236231930776,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,F2,1,29.921256023076474,-29.921256023076474,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,I2,2,57.97849795826025,-0.1084504863168867,0.5,2.2249999999999996,0.11390891967978908,0.5291584562380204,29.749206508531756,1,-0.0018705294227346512
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,P1,1,28.856730313275825,33.185239860267195,1.0,2.15,0.10030647852233082,0.5336131877875065,0.0,0,1.15
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,SP1,1,28.27360830478544,32.51464955050326,1.0,2.15,0.11652357900440985,0.5578686305901951,0.0,0,1.1500000000000001
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50,T1,1,29.249047791300537,16.67195724104131,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
